platform,category,name,brand,mrp,price,weight,eta,availability,store_id,product_url,image_url,scraped_at
blinkit,Vegetables,Hybrid Tomato 500 g,Unknown,35.0,21.0,500 g,N/A,In Stock,33966,https://blinkit.com/prn/hybrid-tomato-500-g/prid/3881,https://cdn.grofers.com/da/cms-assets/cms/product/4cd11feb-f6df-4830-9fa1-a5f39f08fc3f.png,2026-01-17 02:02:46
blinkit,Vegetables,Hybrid Tomato 500 g - Pack of 2,Unknown,70.0,42.0,2 x 500 g,N/A,In Stock,33966,https://blinkit.com/prn/hybrid-tomato-500-g---pack-of-2/prid/487714,https://cdn.grofers.com/da/cms-assets/cms/product/cdce8f1f-ff2d-43e6-a441-c8aa62a99f74.png,2026-01-17 02:02:46
blinkit,Vegetables,Orange Carrot,Unknown,36.0,29.0,500 g,N/A,In Stock,33966,https://blinkit.com/prn/orange-carrot/prid/327916,https://cdn.grofers.com/da/cms-assets/cms/product/3de12ff4-882f-40c0-98d8-ff082ecdcf58.png,2026-01-17 02:02:46
blinkit,Vegetables,Curry Leaves (Karibevina Soppu),Unknown,28.0,21.0,100 g,N/A,In Stock,33966,https://blinkit.com/prn/curry-leaves-(karibevina-soppu)/prid/17643,https://cdn.grofers.com/da/cms-assets/cms/product/e80c9bc6-02e3-47af-8a45-bc8dba262eab.png,2026-01-17 02:02:46
blinkit,Vegetables,Mixed Sprouts (Molke Kalu),Unknown,75.0,46.0,200 g,N/A,In Stock,33966,https://blinkit.com/prn/mixed-sprouts-(molke-kalu)/prid/196281,https://cdn.grofers.com/da/cms-assets/cms/product/5b817cea-9c04-4699-8ab2-02de62e13f3e.png,2026-01-17 02:02:46
blinkit,Vegetables,English Cucumber (Southekayi),Unknown,18.0,12.0,500 g,N/A,In Stock,33966,https://blinkit.com/prn/english-cucumber-(southekayi)/prid/23343,https://cdn.grofers.com/da/cms-assets/cms/product/60c2cecc-5df5-48f4-8a55-194914079d59.png,2026-01-17 02:02:46
blinkit,Vegetables,Green Cucumber (Southekayi),Freshbury,27.0,20.0,500 g,N/A,In Stock,33966,https://blinkit.com/prn/green-cucumber-(southekayi)/prid/10088,https://cdn.grofers.com/da/cms-assets/cms/product/e29ff4ab-7a96-4b90-b251-0489fa0416a2.png,2026-01-17 02:02:46
blinkit,Vegetables,Organically Grown Beetroot,Unknown,77.0,58.0,250 g,N/A,In Stock,33966,https://blinkit.com/prn/organically-grown-beetroot/prid/602177,https://cdn.grofers.com/da/cms-assets/cms/product/85cc6e4a-26a9-4a9d-ae68-413e0e45a096.png,2026-01-17 02:02:46
blinkit,Vegetables,Organically Grown Bitter Gourd (Hagalakayi),Freshbury,49.0,38.0,250 g,N/A,In Stock,33966,https://blinkit.com/prn/organically-grown-bitter-gourd-(hagalakayi)/prid/602179,https://cdn.grofers.com/da/cms-assets/cms/product/dd96558f-08ca-4d9a-b763-fa2245864ce5.png,2026-01-17 02:02:46
blinkit,Vegetables,Green Peas (Peeled) (Battani),Unknown,250.0,72.0,200 g,N/A,In Stock,33966,https://blinkit.com/prn/green-peas-(peeled)-(battani)/prid/327128,https://cdn.grofers.com/da/cms-assets/cms/product/7d82028c-c189-4e8d-bff8-a31f197f5cdd.png,2026-01-17 02:02:46
blinkit,Vegetables,Red Bell Pepper (Kempu Dappa Menasina Kaayi),Unknown,25.0,19.0,125 g,N/A,In Stock,33966,https://blinkit.com/prn/red-bell-pepper-(kempu-dappa-menasina-kaayi)/prid/39394,https://cdn.grofers.com/da/cms-assets/cms/product/b6aa0ba8-3dbc-4d8f-aaf8-1b99ed8911b3.png,2026-01-17 02:02:46
blinkit,Vegetables,Lady Finger (Bendekayi),Unknown,22.0,15.0,250 g,N/A,In Stock,33966,https://blinkit.com/prn/lady-finger-(bendekayi)/prid/3898,https://cdn.grofers.com/da/cms-assets/cms/product/55b60fb8-ab99-491c-89df-08aa8959f060.png,2026-01-17 02:02:46
blinkit,Vegetables,Lady Finger Pack of 2 (Bendekayi),Unknown,44.0,27.0,2 x 250 g,N/A,In Stock,33966,https://blinkit.com/prn/lady-finger-pack-of-2-(bendekayi)/prid/742770,https://cdn.grofers.com/da/cms-assets/cms/product/1db0277f-9207-41f0-80c7-2e87171cc45d.png,2026-01-17 02:02:46
blinkit,Vegetables,Garlic (Bellulli),Unknown,34.0,27.0,100 g,N/A,In Stock,33966,https://blinkit.com/prn/garlic-(bellulli)/prid/355004,https://cdn.grofers.com/da/cms-assets/cms/product/f8fbe189-dd5b-42df-96fe-bee031501f90.png,2026-01-17 02:02:46
blinkit,Vegetables,Spinach (without roots),Unknown,37.0,29.0,200 g,N/A,In Stock,33966,https://blinkit.com/prn/spinach-(without-roots)/prid/312160,https://cdn.grofers.com/da/cms-assets/cms/product/e6119688-845c-4a9b-89e5-40341226f8a6.png,2026-01-17 02:02:46
blinkit,Vegetables,Cauliflower (Hoo Kosu),Unknown,31.0,24.0,300 g,N/A,In Stock,33966,https://blinkit.com/prn/cauliflower-(hoo-kosu)/prid/438113,https://cdn.grofers.com/da/cms-assets/cms/product/fb9365d2-03b3-4ca6-8ae9-4ed9f18d9ac4.png,2026-01-17 02:02:46
blinkit,Vegetables,Haricot Beans (Hurulikayi),Unknown,19.0,15.0,250 g,N/A,In Stock,33966,https://blinkit.com/prn/haricot-beans-(hurulikayi)/prid/22982,https://cdn.grofers.com/da/cms-assets/cms/product/79322b2b-0a6b-4928-b338-c9f9b2660059.png,2026-01-17 02:02:46
blinkit,Vegetables,Yellow Bell Pepper (Haladi Dappa Menasina Kaayi),Unknown,25.0,19.0,125 g,N/A,In Stock,33966,https://blinkit.com/prn/yellow-bell-pepper-(haladi-dappa-menasina-kaayi)/prid/39395,https://cdn.grofers.com/da/cms-assets/cms/product/a6731bbf-c3aa-476e-b488-1fd5ff2da89f.png,2026-01-17 02:02:46
blinkit,Vegetables,Bottle Gourd (Sore Kayi),Freshbury,23.0,18.0,400 g,N/A,In Stock,33966,https://blinkit.com/prn/bottle-gourd-(sore-kayi)/prid/217614,https://cdn.grofers.com/da/cms-assets/cms/product/58b83d0a-58e2-4313-80a4-758677cd7de6.png,2026-01-17 02:02:46
blinkit,Vegetables,Cabbage (Yele Kosu),Unknown,25.0,19.0,400 g,N/A,In Stock,33966,https://blinkit.com/prn/cabbage-(yele-kosu)/prid/339152,https://cdn.grofers.com/da/cms-assets/cms/product/af44ec08-3e9d-442e-8f7d-17ff2a2b260b.png,2026-01-17 02:02:46
blinkit,Vegetables,Pumpkin Yellow (Cut) (Kumbalakayi),Unknown,70.0,40.0,200 g,N/A,In Stock,33966,https://blinkit.com/prn/pumpkin-yellow-(cut)-(kumbalakayi)/prid/502588,https://cdn.grofers.com/da/cms-assets/cms/product/c79f0888-7f33-4b6a-a5b1-065c8d59ed06.png,2026-01-17 02:02:46
blinkit,Vegetables,Ooty Carrot,Unknown,25.0,19.0,250 g,N/A,In Stock,33966,https://blinkit.com/prn/ooty-carrot/prid/242284,https://cdn.grofers.com/da/cms-assets/cms/product/639a8d50-6295-4dab-ba2b-db90d6f2be2a.png,2026-01-17 02:02:46
blinkit,Vegetables,Sweet Potato (450-600) g (Hasi Genasu),Freshbury,33.0,25.0,450 g,N/A,In Stock,33966,https://blinkit.com/prn/sweet-potato-(450-600)-g-(hasi-genasu)/prid/3952,https://cdn.grofers.com/da/cms-assets/cms/product/ace455d8-8133-4a03-9d7b-d65795b005ed.png,2026-01-17 02:02:46
blinkit,Vegetables,Iceberg Lettuce (Letis Soppu),Unknown,25.0,19.0,250 g,N/A,In Stock,33966,https://blinkit.com/prn/iceberg-lettuce-(letis-soppu)/prid/443549,https://cdn.grofers.com/da/cms-assets/cms/product/9323a6ee-3952-485e-b8b3-9f386e851373.png,2026-01-17 02:02:46
blinkit,Vegetables,Organically Grown Ring Beans (Hurulikayi),Unknown,59.0,46.0,250 g,N/A,In Stock,33966,https://blinkit.com/prn/organically-grown-ring-beans-(hurulikayi)/prid/603092,https://cdn.grofers.com/da/cms-assets/cms/product/e5c9e026-445e-460c-8542-6b1d0103655f.png,2026-01-17 02:02:46
