Item Name,Selling Price,Weight,URL,Image,Extraction Type
Kiwi Green,93,3 pcs,https://www.zepto.com/pn/kiwi-green/pvid/862df01f-c0d6-4bc9-9731-347885d2113d,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/fb069e9b-7616-4a89-b363-a292123554c6.jpeg",DOM Fallback
Lettuce Green,16,100 g,https://www.zepto.com/pn/lettuce-green/pvid/ec1570e5-8089-492c-b3b3-abd7d14fdf25,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/f808938d-9f67-4585-8c42-9c594dd15f2e.jpeg",DOM Fallback
Beans Haricot,27,250 g,https://www.zepto.com/pn/beans-haricot/pvid/4b83db84-5dab-4fd4-9888-34d71f0cd458,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/ea5c2e7c-c104-4e34-8f52-f74ce1d5e99a.jpeg",DOM Fallback
Organically Grown Spinach,13,100 g,https://www.zepto.com/pn/organically-grown-spinach/pvid/6cfbfbb3-f589-4a59-bcc6-45146db98cdb,"https://cdn.zeptonow.com/production/tr:w-403,ar-858-858,pr-true,f-auto,q-40,dpr-2/cms/product_variant/615032c7-9dcb-47b8-9947-35a42f8b9270.jpeg",DOM Fallback
Lemon,17,4 Pcs,https://www.zepto.com/pn/lemon/pvid/fc6f0ef3-91ad-40e3-8e44-e7c2451f9389,"https://cdn.zeptonow.com/production/tr:w-403,ar-1024-1024,pr-true,f-auto,q-40,dpr-2/cms/product_variant/5b923876-d4ee-463b-8675-0b6bda6faaaa.jpeg",DOM Fallback
Mosambi,21,2 pcs,https://www.zepto.com/pn/mosambi/pvid/322e8a80-d094-47d5-bb6c-6b5b184c0a97,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/1abe3858-8ea5-4b80-8aa1-f08f2f296eb3.jpg",DOM Fallback
"Curry Leaves - Cleaned, without roots",18,50 g,https://www.zepto.com/pn/curry-leaves-cleaned-without-roots/pvid/08ddb9aa-3de4-4f39-a684-ac58e02c70ed,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/9f080e68-31d0-494e-81be-486f5a62619e.jpeg",DOM Fallback
Green Peas (Matar),18,250 g,https://www.zepto.com/pn/green-peas-matar/pvid/df5ee788-00ce-4cce-afb7-102cb7b3b40d,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/d3b07658-8ca2-4f6b-a2cd-06c197219c8e.jpeg",DOM Fallback
Organically Grown Capsicum Green,38,250 g,https://www.zepto.com/pn/organically-grown-capsicum-green/pvid/eace231a-5f63-4cbc-bb50-f6a3a0000790,"https://cdn.zeptonow.com/production/tr:w-403,ar-910-910,pr-true,f-auto,q-40,dpr-2/cms/product_variant/cccc18a0-766b-4d28-84e6-a29544b700fc.jpeg",DOM Fallback
Baby Orange (Mandarin),181,500 g,https://www.zepto.com/pn/baby-orange-mandarin/pvid/6f416513-2be6-4c46-9124-a217a83eb96a,"https://cdn.zeptonow.com/production/tr:w-403,ar-1024-1024,pr-true,f-auto,q-40,dpr-2/cms/product_variant/6d494c54-fb8e-4dd3-a339-ddfda93075fc.jpeg",DOM Fallback
Mint Leaves,11,100 g,https://www.zepto.com/pn/mint-leaves/pvid/ff5984f3-0bfb-4553-a959-7033078b1a85,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/ac9d96c0-230e-4308-a82f-be8d676d570c.jpeg",DOM Fallback
Organically Grown Cucumber Indian,31,2 pcs,https://www.zepto.com/pn/organically-grown-cucumber-indian/pvid/4c397720-b07a-494a-a89e-81b4abf70746,"https://cdn.zeptonow.com/production/tr:w-403,ar-937-937,pr-true,f-auto,q-40,dpr-2/cms/product_variant/de9cb173-511d-4929-a0f2-bcba1eed17dc.jpeg",DOM Fallback
Baby Apple Shimla,145,500 g,https://www.zepto.com/pn/baby-apple-shimla/pvid/c2c8e164-7476-4b42-a10e-6b27e12bc84f,"https://cdn.zeptonow.com/production/tr:w-403,ar-2000-2000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/2d5e21d5-fbfa-463b-9749-a327460aa20a.jpeg",DOM Fallback
Blueberry Imported,276,120 - 130 g,https://www.zepto.com/pn/blueberry-imported/pvid/b7d27beb-b7da-4caa-b7a3-4e520062d9c7,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/de6ba75f-aa74-486d-9260-615b64e0e13e.jpeg",DOM Fallback
