Category,Subcategory,Item Name,Brand,Mrp,Selling Price,Weight,Delivery ETA,Availability,Inventory,Store ID,Base Product ID,Shelf Life,Timestamp,Pincode,Clicked Label
Fruits & Vegetables,All,Hair Serum,Unknown,N/A,N/A,N/A,N/A,In Stock,Unknown,Unknown,7a65876e-507e-4a56-b523-332520d20990,N/A,2026-01-15 20:08:25,560001,Smart Nav / Direct
Fruits & Vegetables,All,Masoor,Unknown,N/A,N/A,N/A,N/A,In Stock,Unknown,Unknown,c31217fb-1fc9-426c-b24d-1159691a2a3e,N/A,2026-01-15 20:08:25,560001,Smart Nav / Direct
Fruits & Vegetables,All,Chana,Unknown,N/A,N/A,N/A,N/A,In Stock,Unknown,Unknown,0d793e5b-6df1-4114-aaf9-13e6406e925c,N/A,2026-01-15 20:08:25,560001,Smart Nav / Direct
Fruits & Vegetables,All,Chickpea,Unknown,N/A,N/A,N/A,N/A,In Stock,Unknown,Unknown,9a28c3b8-4a35-4477-8262-ac1c290d9445,N/A,2026-01-15 20:08:25,560001,Smart Nav / Direct
Fruits & Vegetables,All,Urad,Unknown,N/A,N/A,N/A,N/A,In Stock,Unknown,Unknown,ed72fce4-3c5a-4a5e-a709-f7b6324ab1cc,N/A,2026-01-15 20:08:25,560001,Smart Nav / Direct
Fruits & Vegetables,All,Roasted Chana,Unknown,N/A,N/A,N/A,N/A,In Stock,Unknown,Unknown,75458057-5c03-4230-80d6-3e5e4ea39ebb,N/A,2026-01-15 20:08:25,560001,Smart Nav / Direct
Fruits & Vegetables,All,Rajma,Unknown,N/A,N/A,N/A,N/A,In Stock,Unknown,Unknown,62cfafe2-6a86-4d23-8f0a-b42178d43086,N/A,2026-01-15 20:08:25,560001,Smart Nav / Direct
Fruits & Vegetables,All,Moong,Unknown,N/A,N/A,N/A,N/A,In Stock,Unknown,Unknown,e142e6a6-c991-49ea-8316-91d2420924c4,N/A,2026-01-15 20:08:25,560001,Smart Nav / Direct
Fruits & Vegetables,All,Chana Dal,Unknown,N/A,N/A,N/A,N/A,In Stock,Unknown,Unknown,8258364e-e653-45f5-a376-d6a73d85486c,N/A,2026-01-15 20:08:25,560001,Smart Nav / Direct
Fruits & Vegetables,All,Peanut,Unknown,N/A,N/A,N/A,N/A,In Stock,Unknown,Unknown,789aee72-f07a-4897-a38b-ca7a35b79eee,N/A,2026-01-15 20:08:25,560001,Smart Nav / Direct
Fruits & Vegetables,All,Horse Gram,Unknown,N/A,N/A,N/A,N/A,In Stock,Unknown,Unknown,277c4dbc-5acd-46c4-be2d-3347778e6693,N/A,2026-01-15 20:08:25,560001,Smart Nav / Direct
Fruits & Vegetables,All,Body Wash,Unknown,N/A,N/A,N/A,N/A,In Stock,Unknown,Unknown,93c8dc29-8619-4c2c-8c59-e6adfb844e3f,N/A,2026-01-15 20:08:25,560001,Smart Nav / Direct
Fruits & Vegetables,All,Handwash,Unknown,N/A,N/A,N/A,N/A,In Stock,Unknown,Unknown,59a1d704-eaf2-437d-a859-06366a3dfd4f,N/A,2026-01-15 20:08:25,560001,Smart Nav / Direct
Fruits & Vegetables,All,Soaps,Unknown,N/A,N/A,N/A,N/A,In Stock,Unknown,Unknown,00776721-d2a5-41b0-ad1e-7289753d6d7b,N/A,2026-01-15 20:08:25,560001,Smart Nav / Direct
Fruits & Vegetables,All,Sanitizers,Unknown,N/A,N/A,N/A,N/A,In Stock,Unknown,Unknown,c391024f-27b7-4a3c-8f5b-7092f9dd9c2d,N/A,2026-01-15 20:08:25,560001,Smart Nav / Direct
Fruits & Vegetables,All,Body Powder,Unknown,N/A,N/A,N/A,N/A,In Stock,Unknown,Unknown,b40a902b-cbd3-401b-90eb-0765be4baab0,N/A,2026-01-15 20:08:25,560001,Smart Nav / Direct
