Category,Subcategory,Item Name,Brand,Mrp,Selling Price,Weight,Delivery ETA,Availability,Inventory,Store ID,Base Product ID,Shelf Life,Timestamp,Pincode,Clicked Label,URL,Image
Fruits & Vegetables,All,Carrot Local,Unknown,29,29,250 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-768-768,pr-true,f-auto,q-40,dpr-2/cms/product_variant/3efbcc36-c254-4fa8-8eb5-e34ad58cb8f7.png"
Fruits & Vegetables,All,Orange Kinnow,Unknown,49,49,500 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/e85d4db5-04b2-490a-95f2-9b445879fc1f.jpeg"
Fruits & Vegetables,All,Kiwi Green,Unknown,95,95,3 pcs,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/fb069e9b-7616-4a89-b363-a292123554c6.jpeg"
Fruits & Vegetables,All,Lettuce Green,Unknown,16,16,100 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/f808938d-9f67-4585-8c42-9c594dd15f2e.jpeg"
Fruits & Vegetables,All,Beans Haricot,Unknown,26,26,250 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/ea5c2e7c-c104-4e34-8f52-f74ce1d5e99a.jpeg"
Fruits & Vegetables,All,Organically Grown Spinach,Unknown,13,13,100 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-858-858,pr-true,f-auto,q-40,dpr-2/cms/product_variant/615032c7-9dcb-47b8-9947-35a42f8b9270.jpeg"
Fruits & Vegetables,All,Lemon,Unknown,18,18,4 Pcs,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-1024-1024,pr-true,f-auto,q-40,dpr-2/cms/product_variant/5b923876-d4ee-463b-8675-0b6bda6faaaa.jpeg"
Fruits & Vegetables,All,Mosambi,Unknown,21,21,2 pcs,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/1abe3858-8ea5-4b80-8aa1-f08f2f296eb3.jpg"
Fruits & Vegetables,All,"Curry Leaves - Cleaned, without roots",Unknown,17,17,50 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/9f080e68-31d0-494e-81be-486f5a62619e.jpeg"
Fruits & Vegetables,All,Green Peas (Matar),Unknown,18,18,250 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/d3b07658-8ca2-4f6b-a2cd-06c197219c8e.jpeg"
Fruits & Vegetables,All,Organically Grown Capsicum Green,Unknown,38,38,250 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-910-910,pr-true,f-auto,q-40,dpr-2/cms/product_variant/cccc18a0-766b-4d28-84e6-a29544b700fc.jpeg"
Fruits & Vegetables,All,Baby Orange (Mandarin),Unknown,181,181,500 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-1024-1024,pr-true,f-auto,q-40,dpr-2/cms/product_variant/6d494c54-fb8e-4dd3-a339-ddfda93075fc.jpeg"
Fruits & Vegetables,All,Mint Leaves,Unknown,12,12,100 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/ac9d96c0-230e-4308-a82f-be8d676d570c.jpeg"
Fruits & Vegetables,All,Organically Grown Cucumber Indian,Unknown,31,31,2 pcs,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-937-937,pr-true,f-auto,q-40,dpr-2/cms/product_variant/de9cb173-511d-4929-a0f2-bcba1eed17dc.jpeg"
Fruits & Vegetables,All,Baby Apple Shimla,Unknown,145,145,500 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-2000-2000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/2d5e21d5-fbfa-463b-9749-a327460aa20a.jpeg"
Fruits & Vegetables,All,Blueberry Imported,Unknown,276,276,120 - 130 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/de6ba75f-aa74-486d-9260-615b64e0e13e.jpeg"
